	text	user	len	ID	Date	Source	Like	RTs	Geo
0	"RT @MoritzWaech: Junge liberale: Öffentlich-Rechtliche brauchen wir nicht macht alles netflix und schaut eh keiner mehr

Realität: fast jed…"	Knusperpartner (im Homo Office 💻🏳️‍🌈)	140	1241516705769283585	2020-03-22 00:07:03	Twitter for Mac	0	453	
1	RT @Mau_Ri_83: #ItalienNews. Alles weist darauf hin, dass es einen Zusammenhang gibt zwischen Grad der #Industrialisierung und #COVID19-Ver…	GigiV46	140	1241516691512799232	2020-03-22 00:07:00	Twitter Web App	0	129	
2	Schnell Mal im Schatten von #COVID19 die #Überwachung perfektioniert: #Trojaner #Fußfessel  https://t.co/AngfKleFPB	fradie	115	1241516670683840513	2020-03-22 00:06:55	Twitter for Android	0	0	
3	RT @bpol_air_fra: Wir würden es natürlich etwas angemessener formulieren, aber dieses Fundstück einer Streife im Terminal 1 am #Flughafen #…	Alejandro Rodríguez	140	1241516626106859525	2020-03-22 00:06:44	Twitter for Android	0	184	
4	RT @AfDimBundestag: .@Beatrix_vStorch erklärt zu Merkels Krisenmanagement: „Es ist wie 2015. Erst vergrößert sie die Krise durch Untätigkei…	Für mein Land 🇩🇪 nur noch AfD 💙	140	1241516557953634306	2020-03-22 00:06:28	Twitter Web App	0	244	
5	RT @ToniStraka: Augenzeugen in München berichten von vermehrter Polizei wegen der Ankunft von 20.000 Ausländern mit Flixbus, Bahn und Lufth…	trudyelliott 🐸	140	1241516471668346881	2020-03-22 00:06:07	Twitter for Android	0	3	
6	RT @maternus: Ich finde ja, Robert Habecks ökonomische Expertise in #covid19-Zeiten sollte im Lande so weit wie möglich verbreitet werden.…	Thomas Hochstädter	139	1241516398813347840	2020-03-22 00:05:50	Twitter for Android	0	245	
7	RT @MDRAktuell: Russland schickt Italien medizinische und personelle Hilfe. Der Kreml stellt nach eigenen Angaben auf Bitten Italiens Schut…	Green Kenny You bastards!	140	1241516396820992002	2020-03-22 00:05:49	Twitter for Android	0	222	
8	RT @ZDFheute: Es wird immer deutlicher, dass auch viele jüngere Menschen schwer an an Corona erkranken. Die @WHO warnt eindringlich und ruf…	gevatter	140	1241516353271537664	2020-03-22 00:05:39	Twitter for iPhone	0	919	
9	RT @maternus: Ich finde ja, Robert Habecks ökonomische Expertise in #covid19-Zeiten sollte im Lande so weit wie möglich verbreitet werden.…	Nuklearchecker	139	1241516351673511936	2020-03-22 00:05:39	Twitter for iPhone	0	245	
10	"RT @AfD_Bayern: 2021 an jeder Arztpraxis:

 „#Grünen wählen gefährdet Ihre Gesundheit“.

Beim Klima wird #Greta –Panic verbreitet aber bei…"	Freigeist1975	139	1241516314222624781	2020-03-22 00:05:30	Twitter Web App	0	17	
11	RT @Stadt_Wien: Auch wenn es schwer fällt: Ihr müsst jetzt auch einmal ein bisserl brav sein! So eine Eilmeldung des kaiserlichen Hofes mit…	Sarah-Anna Awad 🇪🇺	140	1241516313668968448	2020-03-22 00:05:30	Twitter Web App	0	665	
12	RT @vielfaltimkopf: Aus medizinhistorischer Sicht zeigt sich, dass Krankheiten &amp; Viren seit jeher rassistisch, antisemitisch bzw. homofeind…	Cat in Chief	144	1241516300867907591	2020-03-22 00:05:27	Twitter Web App	0	32	
13	Nach #Ischgl #StAnton nun auch das #Zillertal als europaweite Virenschleuder. Unfassbar: aus reiner Geldgier tausen… https://t.co/GhEbgbImjL	Michael Ziesmann	140	1241516270434103296	2020-03-22 00:05:19	Twitter for iPhone	0	0	
14	"RT @1almanyali: Es macht die Runde, dass es seit Januar über 8Mio. China Mobile Nutzer weniger gibt.

Hmm..🤔 

Den offiziellen Zahlen der C…"	SB1905	140	1241516268282355712	2020-03-22 00:05:19	Twitter Web App	0	2	
15	RT @hendrikstreeck: Der beste Weg die Epidemie zu beherschen, ist zu wissen wer infiziert ist. #COVID19	Conni	103	1241516262737379328	2020-03-22 00:05:17	Twitter for Android	0	33	
16	RT @lipsandskin: Dass wir den Italienern in Ihrer Not nicht helfen können, weil wir selbst am letzten Loch pfeifen, ist die eigentliche Sch…	Brennstoff  🇩🇪  (🇺🇸)	140	1241516239765344257	2020-03-22 00:05:12	Twitter Web App	0	73	
